source_id,model,category,token_count,score,output_chars,duration_s
b898e8d9b0706765,gpt-oss:latest,Siphon,127810,0.0,2018,0.2517
b8b9dbaa58b0b2a2,gpt-oss:latest,BookSum,4534,0.2,1956,0.9381
b8cc52d287397cd3,gpt-oss:latest,Siphon,106318,0.2,3581,0.2597
ba0d577246b2d4e1,gpt-oss:latest,Siphon,65365,0.2,2613,1.9099
bb615c74b0b0f8ea,gpt-oss:latest,ArXiv,5254,0.2,23365,1.1949
c3aea7ad81394c57,gpt-oss:latest,Siphon,166923,0.0,1015,0.4099
c54798a03a2a8160,gpt-oss:latest,ArXiv,1981,1.0,1538,0.6283
c56aa1a34ae3b03b,gpt-oss:latest,Siphon,1371,1.0,2954,0.6799
c6d5ba1bd4e6319a,gpt-oss:latest,BillSum,2895,1.0,2839,0.8405
c708a2c263b5ce96,gpt-oss:latest,BookSum,1559,0.6,1098,0.7315
