strategy,model,config_id,source_id,category,token_count,score,output_chars,duration_s
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,4d0a20e2088f2902,BookSum,5517,0.2,3643,0.1227
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,4eb2e0c8ddd332bf,GovReport,19830,0.6,4488,12.1182
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,5849457e28d2dd47,Siphon,84166,0.0,1683,14.6136
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,4c6632acb49850d6,GovReport,20455,0.8,3790,8.2362
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,4f982dfe7069d046,BookSum,2659,0.4,1612,0.1126
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,414c6467b7793a14,BookSum,3062,0.6,1471,0.1215
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,57a805370ea0737e,Siphon,598,0.6,1926,0.0716
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,5a4ad8682359eb86,ArXiv,28080,0.0,2839,7.4981
MapDedupeReduceSummarizer,qwen3.6:latest,08da6118,26562bc95f29d0e7,Siphon,174536,0.4,1225,324.3319
RollingRefineSummarizer,gemma4:latest,a776c38c,02a36eeaf4de3fed,BookSum,41697,0.4,6284,39.2419
RollingRefineSummarizer,gemma4:latest,a776c38c,0a040ce02baea0c0,Siphon,797,0.8,2048,0.0607
RollingRefineSummarizer,gemma4:latest,a776c38c,08837ee9084057e5,BookSum,7788,0.4,2167,7.6898
RollingRefineSummarizer,gemma4:latest,a776c38c,07096bbe6a1a7e2b,GovReport,14090,0.6,4883,17.5998
RollingRefineSummarizer,gemma4:latest,a776c38c,090c12c71a57eea9,Siphon,896,0.8,2050,0.0639
RollingRefineSummarizer,gemma4:latest,a776c38c,02fad2c24aa64146,Siphon,57614,0.6,5875,53.2616
RollingRefineSummarizer,gemma4:latest,a776c38c,0b6450551fc145bd,Siphon,57258,0.4,5771,65.7601
RollingRefineSummarizer,gemma4:latest,a776c38c,0bd12d25e7d6913f,GovReport,10463,0.8,4101,0.1048
RollingRefineSummarizer,gemma4:latest,a776c38c,02e63a2f2fc247d0,Siphon,61720,0.8,11392,104.4224
RollingRefineSummarizer,gemma4:latest,a776c38c,05e962961e864ff4,BookSum,2464,0.6,1795,5.8564
RollingRefineSummarizer,gemma4:latest,a776c38c,128df24fe407b3f6,Siphon,589,1.0,1791,0.0689
RollingRefineSummarizer,gemma4:latest,a776c38c,0bd1ae5ac36914da,Siphon,67454,0.8,7731,80.9295
RollingRefineSummarizer,gemma4:latest,a776c38c,140a70ee3e93ba11,BookSum,6612,0.2,2715,0.0838
RollingRefineSummarizer,gemma4:latest,a776c38c,1331bc288059434f,PubMed,3987,0.8,2817,0.0669
RollingRefineSummarizer,gemma4:latest,a776c38c,109dcc0cca5141f1,Siphon,37266,0.4,7655,44.1691
RollingRefineSummarizer,gemma4:latest,a776c38c,1bde1d2b9bf55ef6,BillSum,1582,0.8,2443,0.0655
RollingRefineSummarizer,gemma4:latest,a776c38c,1387e59928e190df,Siphon,34576,0.8,12946,55.0359
RollingRefineSummarizer,gemma4:latest,a776c38c,1be319f52bc7794b,Siphon,84011,0.2,22501,225.302
RollingRefineSummarizer,gemma4:latest,a776c38c,1e549964b0d1ffb3,Siphon,650,0.8,2370,0.077
RollingRefineSummarizer,gemma4:latest,a776c38c,1b30c02dad523501,Siphon,69552,0.4,6463,76.8744
RollingRefineSummarizer,gemma4:latest,a776c38c,20b0bbf1c1e7b842,BookSum,835,0.4,1343,2.4463
RollingRefineSummarizer,gemma4:latest,a776c38c,1f1a08b291f9ff92,BookSum,4484,0.4,1635,3.1755
RollingRefineSummarizer,gemma4:latest,a776c38c,2301c8025d4cfc55,BookSum,7811,0.6,2337,7.6825
RollingRefineSummarizer,gemma4:latest,a776c38c,269c15d175b31c53,ArXiv,6689,0.8,3525,0.0869
RollingRefineSummarizer,gemma4:latest,a776c38c,29fbe5b2a9cdcbd1,BookSum,1652,0.6,2231,3.5347
RollingRefineSummarizer,gemma4:latest,a776c38c,224726bec5c26d23,Siphon,129487,0.4,6650,173.824
RollingRefineSummarizer,gemma4:latest,a776c38c,2b7f09404acf6db7,GovReport,26243,0.6,8167,27.4149
RollingRefineSummarizer,gemma4:latest,a776c38c,2aed9f5ceb0d4ef5,Siphon,93927,0.4,6566,96.0453
RollingRefineSummarizer,gemma4:latest,a776c38c,2fdb74a46e6c6164,Siphon,38983,0.4,5856,39.1913
RollingRefineSummarizer,gemma4:latest,a776c38c,2c17d50233c19bfe,Siphon,49489,0.6,7176,59.6669
RollingRefineSummarizer,gemma4:latest,a776c38c,3052d859aa2275aa,GovReport,14575,0.8,3964,17.5347
RollingRefineSummarizer,gemma4:latest,a776c38c,2efb01a28bf80931,BookSum,8482,0.6,2445,7.6178
RollingRefineSummarizer,gemma4:latest,a776c38c,30f2b3fe9afa1dd8,Siphon,119122,0.8,20780,274.3941
RollingRefineSummarizer,gemma4:latest,a776c38c,31c6b3277cd42ea1,Siphon,789,0.8,1822,0.0729
RollingRefineSummarizer,gemma4:latest,a776c38c,37ede2181d67b068,Siphon,748,1.0,2240,0.0697
RollingRefineSummarizer,gemma4:latest,a776c38c,373a4663b87fc0f2,ArXiv,14191,0.8,5411,22.9861
RollingRefineSummarizer,gemma4:latest,a776c38c,3e7889d6260c53ba,Siphon,26861,0.6,5669,29.5277
RollingRefineSummarizer,gemma4:latest,a776c38c,3345ef955c76a87d,BookSum,37118,0.4,5600,50.082
RollingRefineSummarizer,gemma4:latest,a776c38c,37a3042103b40d4d,Siphon,92058,0.6,13905,153.6103
RollingRefineSummarizer,gemma4:latest,a776c38c,3fee926e3411eb82,BookSum,5463,0.6,2092,6.9576
RollingRefineSummarizer,gemma4:latest,a776c38c,3cb7d5d442bca0be,ArXiv,10264,0.8,3179,0.0939
RollingRefineSummarizer,gemma4:latest,a776c38c,4140c397caa5bb5c,Siphon,1094,0.6,2754,0.0676
RollingRefineSummarizer,gemma4:latest,a776c38c,467a66e3a5d1e345,BookSum,3781,0.6,1730,3.741
RollingRefineSummarizer,gemma4:latest,a776c38c,348720498ac46980,Siphon,94646,0.6,8742,136.64
RollingRefineSummarizer,gemma4:latest,a776c38c,423c4ea171279761,GovReport,10255,0.8,4134,0.0964
RollingRefineSummarizer,gemma4:latest,a776c38c,4c8e024fce3fc5d9,WikiHow,678,0.8,1741,0.0755
RollingRefineSummarizer,gemma4:latest,a776c38c,49347fa7f3dd4982,PubMed,16726,0.8,5493,17.7784
RollingRefineSummarizer,gemma4:latest,a776c38c,445be14601e8bbb4,GovReport,16710,0.8,7651,17.0769
RollingRefineSummarizer,gemma4:latest,a776c38c,4c6632acb49850d6,GovReport,20455,0.6,4776,18.0529
RollingRefineSummarizer,gemma4:latest,a776c38c,414c6467b7793a14,BookSum,3062,0.6,1471,3.5907
